image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
45,6_320x stock m270_4x obj_grid_r2_c1.png,8660,1,330,221,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8661,1,458,487,190.0,7
45,6_320x stock m270_4x obj_grid_r2_c1.png,8662,1,393,491,190.0,7
45,6_320x stock m270_4x obj_grid_r2_c1.png,8663,1,253,82,147.5,6
45,6_320x stock m270_4x obj_grid_r2_c1.png,8664,1,262,178,318.0,10
45,6_320x stock m270_4x obj_grid_r2_c1.png,8665,1,101,263,147.5,6
45,6_320x stock m270_4x obj_grid_r2_c1.png,8666,1,86,479,104.0,5
45,6_320x stock m270_4x obj_grid_r2_c1.png,8667,1,16,504,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8668,1,19,153,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8669,1,207,334,147.5,6
45,6_320x stock m270_4x obj_grid_r2_c1.png,8670,1,104,398,104.0,5
45,6_320x stock m270_4x obj_grid_r2_c1.png,8671,1,88,453,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8672,1,139,489,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8673,1,52,60,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8674,1,384,92,31.5,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8675,1,86,250,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8676,1,45,259,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8677,1,255,268,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8678,1,87,280,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8679,1,35,294,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8680,1,110,296,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8681,1,115,311,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8682,1,46,320,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8683,1,142,320,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8684,1,80,324,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8685,1,13,342,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8686,1,398,348,190.0,7
45,6_320x stock m270_4x obj_grid_r2_c1.png,8687,1,46,350,31.5,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8688,1,32,368,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8689,1,278,370,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8690,1,133,374,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8691,1,39,378,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8692,1,9,388,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8693,1,68,388,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8694,1,42,389,31.5,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8695,1,191,393,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8696,1,50,396,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8697,1,120,397,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8698,1,147,408,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8699,1,2,412,27.0,2
45,6_320x stock m270_4x obj_grid_r2_c1.png,8700,1,166,415,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8701,1,116,421,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8702,1,102,423,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8703,1,234,425,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8704,1,69,428,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8705,1,187,434,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8706,1,171,439,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8707,1,239,445,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8708,1,208,448,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8709,1,7,451,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8710,1,132,453,31.5,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8711,1,177,454,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8712,1,128,463,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8713,1,212,467,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8714,1,199,471,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8715,1,281,476,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8716,1,382,477,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8717,1,237,481,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8718,1,65,487,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8719,1,15,488,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8720,1,183,495,46.0,3
45,6_320x stock m270_4x obj_grid_r2_c1.png,8721,1,257,499,104.0,5
