image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
1,synthetic_80x_0_20250725094717265444.png,1,1,403,272,28,3
1,synthetic_80x_0_20250725094717265444.png,2,1,402,269,28,3
1,synthetic_80x_0_20250725094717265444.png,3,1,395,282,28,3
1,synthetic_80x_0_20250725094717265444.png,4,1,410,281,28,3
1,synthetic_80x_0_20250725094717265444.png,5,1,388,279,28,3
1,synthetic_80x_0_20250725094717265444.png,6,1,379,271,28,3
1,synthetic_80x_0_20250725094717265444.png,7,1,380,281,28,3
1,synthetic_80x_0_20250725094717265444.png,8,1,389,287,28,3
1,synthetic_80x_0_20250725094717265444.png,9,1,382,272,28,3
1,synthetic_80x_0_20250725094717265444.png,10,1,411,287,28,3
1,synthetic_80x_0_20250725094717265444.png,11,1,405,277,28,3
1,synthetic_80x_0_20250725094717265444.png,12,1,386,281,28,3
1,synthetic_80x_0_20250725094717265444.png,13,1,392,277,28,3
1,synthetic_80x_0_20250725094717265444.png,14,1,396,287,28,3
1,synthetic_80x_0_20250725094717265444.png,15,1,410,279,28,3
1,synthetic_80x_0_20250725094717265444.png,16,1,142,278,28,3
1,synthetic_80x_0_20250725094717265444.png,17,1,133,272,28,3
1,synthetic_80x_0_20250725094717265444.png,18,1,145,286,28,3
1,synthetic_80x_0_20250725094717265444.png,19,1,133,278,28,3
1,synthetic_80x_0_20250725094717265444.png,20,1,135,288,28,3
1,synthetic_80x_0_20250725094717265444.png,21,1,141,268,28,3
1,synthetic_80x_0_20250725094717265444.png,22,1,136,262,28,3
1,synthetic_80x_0_20250725094717265444.png,23,1,6,377,28,3
1,synthetic_80x_0_20250725094717265444.png,24,1,4,387,28,3
1,synthetic_80x_0_20250725094717265444.png,25,1,13,388,28,3
1,synthetic_80x_0_20250725094717265444.png,26,1,5,373,28,3
1,synthetic_80x_0_20250725094717265444.png,27,1,282,201,28,3
1,synthetic_80x_0_20250725094717265444.png,28,1,285,194,28,3
1,synthetic_80x_0_20250725094717265444.png,29,1,282,200,28,3
1,synthetic_80x_0_20250725094717265444.png,30,1,278,203,28,3
1,synthetic_80x_0_20250725094717265444.png,31,1,283,191,28,3
1,synthetic_80x_0_20250725094717265444.png,32,1,284,189,28,3
1,synthetic_80x_0_20250725094717265444.png,33,1,283,181,28,3
1,synthetic_80x_0_20250725094717265444.png,34,1,143,90,28,3
1,synthetic_80x_0_20250725094717265444.png,35,1,153,85,28,3
1,synthetic_80x_0_20250725094717265444.png,36,1,151,88,28,3
1,synthetic_80x_0_20250725094717265444.png,37,1,143,86,28,3
1,synthetic_80x_0_20250725094717265444.png,38,1,139,88,28,3
1,synthetic_80x_0_20250725094717265444.png,39,1,133,88,28,3
1,synthetic_80x_0_20250725094717265444.png,40,1,127,95,28,3
1,synthetic_80x_0_20250725094717265444.png,41,1,395,4,28,3
1,synthetic_80x_0_20250725094717265444.png,42,1,388,12,28,3
1,synthetic_80x_0_20250725094717265444.png,43,1,391,11,28,3
1,synthetic_80x_0_20250725094717265444.png,44,1,391,18,28,3
1,synthetic_80x_0_20250725094717265444.png,45,1,392,23,28,3
1,synthetic_80x_0_20250725094717265444.png,46,1,388,24,28,3
1,synthetic_80x_0_20250725094717265444.png,47,1,387,18,28,3
1,synthetic_80x_0_20250725094717265444.png,48,1,389,10,28,3
1,synthetic_80x_0_20250725094717265444.png,49,1,384,1,28,3
1,synthetic_80x_0_20250725094717265444.png,50,1,391,4,28,3
1,synthetic_80x_0_20250725094717265444.png,51,1,363,225,28,3
1,synthetic_80x_0_20250725094717265444.png,52,1,372,230,28,3
1,synthetic_80x_0_20250725094717265444.png,53,1,358,228,28,3
1,synthetic_80x_0_20250725094717265444.png,54,1,371,235,28,3
1,synthetic_80x_0_20250725094717265444.png,55,1,179,230,28,3
1,synthetic_80x_0_20250725094717265444.png,56,1,184,238,28,3
1,synthetic_80x_0_20250725094717265444.png,57,1,170,235,28,3
1,synthetic_80x_0_20250725094717265444.png,58,1,175,240,28,3
1,synthetic_80x_0_20250725094717265444.png,59,1,177,236,28,3
1,synthetic_80x_0_20250725094717265444.png,60,1,174,243,28,3
1,synthetic_80x_0_20250725094717265444.png,61,1,177,234,28,3
1,synthetic_80x_0_20250725094717265444.png,62,1,190,230,28,3
1,synthetic_80x_0_20250725094717265444.png,63,1,178,246,28,3
