image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11853,1,447,409,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11854,1,294,203,74.5,4
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11855,1,177,253,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11856,1,317,312,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11857,1,382,393,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11858,1,128,9,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11859,1,53,14,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11860,1,48,40,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11861,1,440,53,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11862,1,402,75,74.5,4
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11863,1,460,226,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11864,1,296,290,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11865,1,291,365,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11866,1,484,489,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11867,1,34,259,46.0,3
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11868,1,422,321,74.5,4
67,8_10240x stock m270_4xobj_4_grid_r1_c4.png,11869,1,50,297,74.5,4
