image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5748,1,219,197,74.5,4
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5749,1,308,274,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5750,1,496,251,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5751,1,399,235,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5752,1,365,186,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5753,1,456,181,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5754,1,339,54,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5755,1,175,364,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5756,1,450,347,74.5,4
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5757,1,414,340,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5758,1,336,336,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5759,1,306,310,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5760,1,197,287,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5761,1,24,288,104.0,5
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5762,1,429,280,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5763,1,185,267,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5764,1,297,244,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5765,1,302,225,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5766,1,407,218,104.0,5
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5767,1,279,202,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5768,1,460,201,74.5,4
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5769,1,181,186,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5770,1,300,179,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5771,1,165,170,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5772,1,461,162,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5773,1,508,162,27.5,2
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5774,1,193,157,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5775,1,439,156,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5776,1,315,143,46.0,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5777,1,263,135,31.5,3
27,5_1280x stock m270_4xobj_4_grid_r0_c6.png,5778,1,502,118,46.0,3
