image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
52,6_320x stock m270_4x obj_grid_r2_c6.png,9387,1,456,244,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9388,1,400,210,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9389,1,226,183,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9390,1,86,179,190.0,7
52,6_320x stock m270_4x obj_grid_r2_c6.png,9391,1,390,58,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9392,1,176,15,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9393,1,442,433,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9394,1,456,41,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9395,1,437,318,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9396,1,356,206,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9397,1,329,129,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9398,1,100,84,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9399,1,304,500,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9400,1,395,344,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9401,1,383,273,31.5,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9402,1,102,255,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9403,1,478,225,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9404,1,130,197,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9405,1,8,163,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9406,1,279,73,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9407,1,459,56,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9408,1,149,48,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9409,1,217,46,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9410,1,497,32,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9411,1,442,474,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9412,1,380,467,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9413,1,339,384,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9414,1,362,325,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9415,1,95,154,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9416,1,155,126,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9417,1,166,92,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9418,1,125,91,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9419,1,470,87,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9420,1,501,483,190.0,7
52,6_320x stock m270_4x obj_grid_r2_c6.png,9421,1,13,417,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9422,1,269,404,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9423,1,139,389,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9424,1,267,265,46.0,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9425,1,466,223,31.5,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9426,1,347,167,104.0,5
52,6_320x stock m270_4x obj_grid_r2_c6.png,9427,1,506,149,31.5,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9428,1,363,139,8.0,1
52,6_320x stock m270_4x obj_grid_r2_c6.png,9429,1,301,86,190.0,7
52,6_320x stock m270_4x obj_grid_r2_c6.png,9430,1,407,37,31.5,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9431,1,301,4,31.5,3
52,6_320x stock m270_4x obj_grid_r2_c6.png,9432,1,472,500,147.5,6
52,6_320x stock m270_4x obj_grid_r2_c6.png,9433,1,87,428,74.5,4
52,6_320x stock m270_4x obj_grid_r2_c6.png,9434,1,467,398,31.5,3
