image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2123,1,454,484,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2124,1,178,400,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2125,1,171,356,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2126,1,129,334,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2127,1,232,244,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2128,1,398,198,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2129,1,266,157,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2130,1,371,145,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2131,1,290,94,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2132,1,394,67,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2133,1,455,450,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2134,1,247,361,147.5,6
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2135,1,205,199,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2136,1,182,36,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2137,1,52,35,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2138,1,475,368,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2139,1,184,281,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2140,1,462,221,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2141,1,243,67,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2142,1,346,45,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2143,1,106,41,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2144,1,496,491,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2145,1,378,490,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2146,1,152,484,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2147,1,94,461,147.5,6
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2148,1,369,458,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2149,1,158,441,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2150,1,448,440,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2151,1,454,390,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2152,1,366,373,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2153,1,324,361,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2154,1,463,277,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2155,1,67,275,147.5,6
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2156,1,507,269,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2157,1,198,239,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2158,1,115,204,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2159,1,492,204,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2160,1,360,180,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2161,1,328,157,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2162,1,44,145,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2163,1,16,123,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2164,1,441,86,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2165,1,372,20,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2166,1,183,3,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2167,1,258,486,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2168,1,396,480,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2169,1,10,460,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2170,1,500,447,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2171,1,307,362,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2172,1,127,360,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2173,1,333,345,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2174,1,325,308,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2175,1,504,300,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2176,1,182,266,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2177,1,495,255,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2178,1,411,211,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2179,1,129,211,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2180,1,41,209,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2181,1,81,152,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2182,1,123,141,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2183,1,155,102,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2184,1,4,100,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2185,1,506,15,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2186,1,392,5,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2187,1,130,5,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2188,1,156,494,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2189,1,293,481,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2190,1,275,472,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2191,1,127,458,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2192,1,372,434,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2193,1,70,395,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2194,1,363,391,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2195,1,362,313,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2196,1,214,282,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2197,1,51,243,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2198,1,225,155,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2199,1,127,110,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2200,1,81,77,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2201,1,86,35,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2202,1,200,479,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2203,1,142,474,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2204,1,15,436,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2205,1,290,415,190.0,7
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2206,1,216,357,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2207,1,281,301,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2208,1,268,244,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2209,1,368,220,104.0,5
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2210,1,485,176,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2211,1,504,135,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2212,1,459,136,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2213,1,310,129,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2214,1,494,128,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2215,1,496,84,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2216,1,487,76,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2217,1,413,67,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2218,1,479,66,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2219,1,463,63,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2220,1,288,59,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2221,1,380,51,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2222,1,502,42,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2223,1,169,42,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2224,1,292,38,366.0,10
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2225,1,351,32,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2226,1,508,31,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2227,1,421,25,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2228,1,458,23,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2229,1,405,22,74.5,4
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2230,1,492,19,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2231,1,266,18,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2232,1,480,12,46.0,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2233,1,456,10,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2234,1,20,5,31.5,3
7,3_320x stock m270_4xobj_3_grid_r3_c3.png,2235,1,209,503,46.0,3
