image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
48,6_320x stock m270_4x obj_grid_r2_c2.png,8462,1,37,174,104.0,5
48,6_320x stock m270_4x obj_grid_r2_c2.png,8463,1,483,112,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8464,1,265,505,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8465,1,189,176,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8466,1,119,124,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8467,1,258,35,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8468,1,32,498,104.0,5
48,6_320x stock m270_4x obj_grid_r2_c2.png,8469,1,251,232,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8470,1,385,90,104.0,5
48,6_320x stock m270_4x obj_grid_r2_c2.png,8471,1,497,28,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8472,1,45,311,104.0,5
48,6_320x stock m270_4x obj_grid_r2_c2.png,8473,1,332,187,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8474,1,101,119,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8475,1,135,109,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8476,1,207,89,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8477,1,105,81,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8478,1,214,79,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8479,1,284,42,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8480,1,468,28,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8481,1,134,24,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8482,1,466,12,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8483,1,400,476,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8484,1,316,476,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8485,1,170,469,147.5,6
48,6_320x stock m270_4x obj_grid_r2_c2.png,8486,1,400,457,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8487,1,169,437,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8488,1,249,429,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8489,1,432,428,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8490,1,233,411,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8491,1,401,399,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8492,1,338,388,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8493,1,109,385,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8494,1,480,372,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8495,1,202,368,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8496,1,334,322,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8497,1,383,311,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8498,1,306,308,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8499,1,225,303,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8500,1,277,292,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8501,1,455,273,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8502,1,233,243,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8503,1,267,236,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8504,1,285,227,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8505,1,400,195,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8506,1,242,183,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8507,1,5,172,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8508,1,174,155,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8509,1,345,145,104.0,5
48,6_320x stock m270_4x obj_grid_r2_c2.png,8510,1,148,100,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8511,1,65,100,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8512,1,135,98,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8513,1,325,97,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8514,1,125,92,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8515,1,189,88,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8516,1,274,86,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8517,1,267,49,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8518,1,319,19,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8519,1,64,5,46.0,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8520,1,468,500,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8521,1,485,483,31.5,3
48,6_320x stock m270_4x obj_grid_r2_c2.png,8522,1,226,465,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8523,1,356,442,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8524,1,139,438,74.5,4
48,6_320x stock m270_4x obj_grid_r2_c2.png,8525,1,430,438,31.5,3
