image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
91,1.5625pM 20x 1_crop_36.png,11074,1,259,437,760.0,15
91,1.5625pM 20x 1_crop_36.png,11075,1,249,416,760.0,15
91,1.5625pM 20x 1_crop_36.png,11076,1,122,393,760.0,15
91,1.5625pM 20x 1_crop_36.png,11077,1,10,401,625.0,14
91,1.5625pM 20x 1_crop_36.png,11078,1,168,362,760.0,15
91,1.5625pM 20x 1_crop_36.png,11079,1,380,386,760.0,15
91,1.5625pM 20x 1_crop_36.png,11080,1,507,368,192.0,7
91,1.5625pM 20x 1_crop_36.png,11081,1,425,282,760.0,15
91,1.5625pM 20x 1_crop_36.png,11082,1,430,257,760.0,15
91,1.5625pM 20x 1_crop_36.png,11083,1,345,228,760.0,15
91,1.5625pM 20x 1_crop_36.png,11084,1,403,258,760.0,15
91,1.5625pM 20x 1_crop_36.png,11085,1,494,7,442.0,11
91,1.5625pM 20x 1_crop_36.png,11086,1,467,27,760.0,15
91,1.5625pM 20x 1_crop_36.png,11087,1,342,14,739.0,15
91,1.5625pM 20x 1_crop_36.png,11088,1,316,47,760.0,15
91,1.5625pM 20x 1_crop_36.png,11089,1,25,60,760.0,15
91,1.5625pM 20x 1_crop_36.png,11090,1,156,255,760.0,15
91,1.5625pM 20x 1_crop_36.png,11091,1,192,283,760.0,15
91,1.5625pM 20x 1_crop_36.png,11092,1,211,310,760.0,15
91,1.5625pM 20x 1_crop_36.png,11093,1,256,279,760.0,15
91,1.5625pM 20x 1_crop_36.png,11094,1,331,176,760.0,15
91,1.5625pM 20x 1_crop_36.png,11095,1,280,495,760.0,15
91,1.5625pM 20x 1_crop_36.png,11096,1,268,466,760.0,15
