image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1794,1,426,492,318.0,10
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1795,1,371,482,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1796,1,419,255,104.0,5
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1797,1,419,229,248.5,8
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1798,1,175,218,104.0,5
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1799,1,372,466,74.5,4
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1800,1,276,445,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1801,1,468,114,104.0,5
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1802,1,470,16,147.5,6
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1803,1,433,16,147.5,6
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1804,1,130,410,104.0,5
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1805,1,465,328,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1806,1,226,246,74.5,4
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1807,1,353,225,74.5,4
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1808,1,410,116,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1809,1,302,105,74.5,4
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1810,1,16,89,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1811,1,120,83,74.5,4
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1812,1,350,49,31.5,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1813,1,251,51,104.0,5
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1814,1,382,47,46.0,3
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1815,1,342,26,147.5,6
6,3_320x stock m270_4xobj_3_grid_r1_c3.png,1816,1,391,17,74.5,4
