image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
50,6_320x stock m270_4x obj_grid_r2_c4.png,9278,1,373,505,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9279,1,440,470,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9280,1,183,248,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9281,1,474,217,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9282,1,353,92,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9283,1,476,7,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9284,1,498,108,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9285,1,436,79,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9286,1,436,68,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9287,1,232,422,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9288,1,467,420,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9289,1,363,371,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9290,1,492,352,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9291,1,391,296,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9292,1,471,252,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9293,1,82,230,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9294,1,499,213,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9295,1,300,167,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9296,1,193,147,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9297,1,461,137,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9298,1,482,110,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9299,1,240,66,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9300,1,210,11,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9301,1,443,8,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9302,1,305,6,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9303,1,414,507,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9304,1,286,506,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9305,1,261,504,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9306,1,419,491,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9307,1,281,439,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9308,1,249,404,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9309,1,148,397,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9310,1,17,376,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9311,1,296,374,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9312,1,160,374,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9313,1,375,367,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9314,1,74,350,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9315,1,445,266,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9316,1,506,221,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9317,1,108,194,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9318,1,370,187,104.0,5
50,6_320x stock m270_4x obj_grid_r2_c4.png,9319,1,354,181,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9320,1,136,175,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9321,1,269,124,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9322,1,414,96,31.5,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9323,1,93,78,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9324,1,373,470,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9325,1,150,468,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9326,1,220,463,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9327,1,36,415,46.0,3
50,6_320x stock m270_4x obj_grid_r2_c4.png,9328,1,391,375,74.5,4
50,6_320x stock m270_4x obj_grid_r2_c4.png,9329,1,318,376,74.5,4
