image_id,image_filename,x,y,approx_radius,blob_index
1280x_2025-05-16_00-59-00_grid_r2_c0_0,1280x_2025-05-16_00-59-00_grid_r2_c0.png,441.0,130.0,2.5600000000000005,0
1280x_2025-05-16_00-59-00_grid_r2_c0_1,1280x_2025-05-16_00-59-00_grid_r2_c0.png,448.0,416.0,2.5600000000000005,1
1280x_2025-05-16_00-59-00_grid_r2_c1_0,1280x_2025-05-16_00-59-00_grid_r2_c1.png,147.0,29.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r0_c1_0,160x_2025-05-29_02-23-00_001_grid_r0_c1.png,342.0,246.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r0_c1_1,160x_2025-05-29_02-23-00_001_grid_r0_c1.png,360.0,393.0,2.5600000000000005,1
160x_2025-05-29_02-23-00_001_grid_r0_c1_2,160x_2025-05-29_02-23-00_001_grid_r0_c1.png,0.0,400.0,2.5600000000000005,2
160x_2025-05-29_02-23-00_001_grid_r0_c1_3,160x_2025-05-29_02-23-00_001_grid_r0_c1.png,279.0,449.0,2.5600000000000005,3
160x_2025-05-29_02-23-00_001_grid_r0_c2_0,160x_2025-05-29_02-23-00_001_grid_r0_c2.png,481.0,358.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r0_c2_1,160x_2025-05-29_02-23-00_001_grid_r0_c2.png,449.0,74.0,2.5600000000000005,1
160x_2025-05-29_02-23-00_001_grid_r0_c2_2,160x_2025-05-29_02-23-00_001_grid_r0_c2.png,511.0,374.0,2.5600000000000005,2
160x_2025-05-29_02-23-00_001_grid_r1_c0_0,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,387.0,38.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r1_c0_1,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,397.0,215.0,2.5600000000000005,1
160x_2025-05-29_02-23-00_001_grid_r1_c0_2,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,239.0,78.0,2.5600000000000005,2
160x_2025-05-29_02-23-00_001_grid_r1_c0_3,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,267.0,332.0,2.5600000000000005,3
160x_2025-05-29_02-23-00_001_grid_r1_c0_4,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,308.0,436.0,2.5600000000000005,4
160x_2025-05-29_02-23-00_001_grid_r1_c0_5,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,348.0,336.0,2.5600000000000005,5
160x_2025-05-29_02-23-00_001_grid_r1_c0_6,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,485.0,258.0,2.5600000000000005,6
160x_2025-05-29_02-23-00_001_grid_r1_c0_7,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,482.0,476.0,2.5600000000000005,7
160x_2025-05-29_02-23-00_001_grid_r1_c0_8,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,143.0,446.0,2.5600000000000005,8
160x_2025-05-29_02-23-00_001_grid_r1_c0_9,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,427.0,105.0,2.5600000000000005,9
160x_2025-05-29_02-23-00_001_grid_r1_c0_10,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,63.0,155.0,2.5600000000000005,10
160x_2025-05-29_02-23-00_001_grid_r1_c0_11,160x_2025-05-29_02-23-00_001_grid_r1_c0.png,158.0,17.0,2.5600000000000005,11
160x_2025-05-29_02-23-00_001_grid_r1_c1_0,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,274.0,158.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r1_c1_1,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,265.0,442.0,2.5600000000000005,1
160x_2025-05-29_02-23-00_001_grid_r1_c1_2,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,453.0,457.0,2.5600000000000005,2
160x_2025-05-29_02-23-00_001_grid_r1_c1_3,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,331.0,458.0,2.5600000000000005,3
160x_2025-05-29_02-23-00_001_grid_r1_c1_4,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,91.0,59.0,2.5600000000000005,4
160x_2025-05-29_02-23-00_001_grid_r1_c1_5,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,276.0,502.0,2.5600000000000005,5
160x_2025-05-29_02-23-00_001_grid_r1_c1_6,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,195.0,75.0,2.5600000000000005,6
160x_2025-05-29_02-23-00_001_grid_r1_c1_7,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,247.0,412.0,2.5600000000000005,7
160x_2025-05-29_02-23-00_001_grid_r1_c1_8,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,8.0,501.0,2.5600000000000005,8
160x_2025-05-29_02-23-00_001_grid_r1_c1_9,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,287.0,401.0,2.5600000000000005,9
160x_2025-05-29_02-23-00_001_grid_r1_c1_10,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,197.0,473.0,2.5600000000000005,10
160x_2025-05-29_02-23-00_001_grid_r1_c1_11,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,80.0,492.0,2.5600000000000005,11
