image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7951,1,56,358,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7952,1,15,294,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7953,1,47,246,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7954,1,76,196,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7955,1,396,89,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7956,1,72,139,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7957,1,22,123,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7958,1,127,93,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7959,1,496,93,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7960,1,209,66,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7961,1,268,8,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7962,1,488,7,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7963,1,444,1,7.0,1
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7964,1,285,1,7.0,1
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7965,1,186,496,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7966,1,195,376,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7967,1,242,363,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7968,1,84,356,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7969,1,396,338,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7970,1,251,323,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7971,1,96,323,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7972,1,302,319,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7973,1,375,300,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7974,1,70,280,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7975,1,199,261,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7976,1,26,259,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7977,1,22,237,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7978,1,125,224,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7979,1,351,411,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7980,1,344,400,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7981,1,412,387,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7982,1,104,342,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7983,1,226,341,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7984,1,55,311,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7985,1,93,278,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7986,1,415,226,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7987,1,351,221,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7988,1,231,216,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7989,1,172,194,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7990,1,492,172,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7991,1,332,167,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7992,1,252,153,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7993,1,17,152,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7994,1,397,139,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7995,1,120,46,104.0,5
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7996,1,139,123,104.0,5
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7997,1,478,118,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7998,1,311,207,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,7999,1,208,418,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8000,1,253,437,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8001,1,489,447,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8002,1,265,453,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8003,1,474,7,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8004,1,193,17,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8005,1,501,19,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8006,1,500,73,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8007,1,370,110,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8008,1,193,117,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8009,1,252,125,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8010,1,442,204,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8011,1,203,174,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8012,1,101,148,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8013,1,57,133,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8014,1,442,60,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8015,1,24,52,74.5,4
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8016,1,327,508,31.5,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8017,1,111,496,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8018,1,13,492,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8019,1,99,456,46.0,3
31,6_2560x stock m270_4xobj_2_grid_r1_c6.png,8020,1,116,376,74.5,4
